set_id,set_version,query_text,probe_run_id,page_index,raw_snapshot_id,source_field_path,total_games_count,missing_reason
mystery-unboxing-collection-sweep-v1--rarity,1,редкость,probe:276ce4f718d34babac6d32eab59e80f1,2,20260901T062507036919Z-bfd0207f3d,$.totalGamesCount,353,
mystery-unboxing-collection-sweep-v1--rarity,1,редкий,probe:6c94c665d76b4ffeab9dbf2494f054b1,0,20260901T062506411808Z-1201bd593b,$.totalGamesCount,476,
mystery-unboxing-collection-sweep-v1--rarity,1,редкий,probe:6c94c665d76b4ffeab9dbf2494f054b1,1,20260901T062506655918Z-8b644541f8,$.totalGamesCount,476,
mystery-unboxing-collection-sweep-v1--rarity,1,редкий,probe:6c94c665d76b4ffeab9dbf2494f054b1,2,20260901T062506901333Z-a99bf51065,$.totalGamesCount,476,
mystery-unboxing-collection-sweep-v1--capsule-surprise,1,capsule toy,probe:1122b146769842bbb04f5ac7fd8eb761,0,20260901T062506424816Z-00c4ddcce4,$.totalGamesCount,248,
mystery-unboxing-collection-sweep-v1--capsule-surprise,1,capsule toy,probe:1122b146769842bbb04f5ac7fd8eb761,1,20260901T062506701628Z-2454c7143f,$.totalGamesCount,248,
mystery-unboxing-collection-sweep-v1--capsule-surprise,1,capsule toy,probe:1122b146769842bbb04f5ac7fd8eb761,2,20260901T062506933192Z-c34b8b4163,$.totalGamesCount,248,
mystery-unboxing-collection-sweep-v1--capsule-surprise,1,капсула сюрприз,probe:6b914689933545d4b663cc45034b808f,0,20260901T062507638505Z-6f0dc7c6be,$.totalGamesCount,225,
mystery-unboxing-collection-sweep-v1--capsule-surprise,1,капсула сюрприз,probe:6b914689933545d4b663cc45034b808f,1,20260901T062507913247Z-6db716457c,$.totalGamesCount,225,
mystery-unboxing-collection-sweep-v1--capsule-surprise,1,капсула сюрприз,probe:6b914689933545d4b663cc45034b808f,2,20260901T062508175646Z-3d65914e45,$.totalGamesCount,225,
mystery-unboxing-collection-sweep-v1--capsule-surprise,1,игрушка в капсуле,probe:a9f973334343410caa8e26c211e7009b,0,20260901T062507892354Z-f83dafd005,$.totalGamesCount,250,
mystery-unboxing-collection-sweep-v1--capsule-surprise,1,игрушка в капсуле,probe:a9f973334343410caa8e26c211e7009b,1,20260901T062508164697Z-30c8d1002f,$.totalGamesCount,250,
mystery-unboxing-collection-sweep-v1--capsule-surprise,1,игрушка в капсуле,probe:a9f973334343410caa8e26c211e7009b,2,20260901T062508432957Z-13737a0257,$.totalGamesCount,250,
mystery-unboxing-collection-sweep-v1--lucky-block,1,lucky block,probe:751e86cca2864cda93c3ff2fae5aeb03,0,20260901T062507838509Z-27aa16f416,$.totalGamesCount,342,
mystery-unboxing-collection-sweep-v1--lucky-block,1,lucky block,probe:751e86cca2864cda93c3ff2fae5aeb03,1,20260901T062508179619Z-2e7b91b60a,$.totalGamesCount,342,
mystery-unboxing-collection-sweep-v1--lucky-block,1,lucky block,probe:751e86cca2864cda93c3ff2fae5aeb03,2,20260901T062508418234Z-d26ab5c9d9,$.totalGamesCount,342,
mystery-unboxing-collection-sweep-v1--lucky-block,1,лаки блок,probe:64707419a18d496d8c91bd9a8cfb461e,0,20260901T062507935980Z-6c843e5c9c,$.totalGamesCount,326,
mystery-unboxing-collection-sweep-v1--lucky-block,1,лаки блок,probe:64707419a18d496d8c91bd9a8cfb461e,1,20260901T062508340726Z-d4a475e86b,$.totalGamesCount,326,
mystery-unboxing-collection-sweep-v1--lucky-block,1,лаки блок,probe:64707419a18d496d8c91bd9a8cfb461e,2,20260901T062508603040Z-790bb22460,$.totalGamesCount,326,
